C3 E0 C4 E1 F8 C5 9D 45 E2 00 F9 C6 9E BE 46 0F 
E3 01 A3 FA DA 90 4B 35 C7 5C 9F BF F4 99 47 F0 
65 B7 10 7B 69 3C 85 E4 02 74 2A A4 FB DB 0A 60 
91 CB D3 4C 20 17 56 EA 36 1D C8 5D 39 ED 59 A0 
C0 F5 9A BB 8D 48 F1 96 B4 66 82 D0 14 1A B8 7F 
11 7C A9 6A 3D AC 6D 86 E5 40 AF 23 03 4F 75 2B 
A5 FC DC 0B D6 31 61 70 89 92 CC 2F D4 4D 21 18 
CE 94 8B 57 EB 37 E8 1E C9 5E 28 72 3A 79 63 EE 
5A 33 D8 A1 0D C1 DE F6 9B 43 BC 8E 49 F2 97 B5 
67 83 08 D1 15 54 1B B9 B2 80 FE 12 7D A7 AA 6B 
3E AD 6E 87 2D E6 26 77 41 06 52 B0 24 04 50 51 
05 76 25 2C A6 FD B1 53 07 42 DD 0C D7 32 62 78 
71 27 E7 8A 93 CD 2E 88 6F 30 D5 4E 22 AE 3F 6C 
AB A8 7E 19 13 CF FF 81 B3 95 8C BA 58 EC 38 1C 
E9 55 16 1F D2 CA 5F 09 29 73 84 3B 68 7A B6 64 
EF 98 F3 5B 34 4A 8F D9 A2 0E BD 44 9C F7 DF C2 
